"__NounName","Name","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","BasePriority","ExitCode","HasExited","ExitTime","Handle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"Process","python","159","87097344","12808192","7831552","11888","c:\P2.7.6.1\App\python.exe",,"0.15625",,,,,"8",,"False",,"2416","159","1960",".","0","","System.Diagnostics.ProcessModule (python.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11888","11888","7831552","7831552","151528","151528","7868416","7868416","12808192","12808192","87097344","87097344","True","Normal","7831552","7831552","00:00:00.0625000","python","1","True","1","System.Diagnostics.ProcessStartInfo","12/15/2015 11:01:56 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1562500","00:00:00.0937500","87097344","87097344","False",,,,"12808192","12808192",,
"Process","services","198","19496960","5550080","2015232","9152",,,"1",,,,,"9",,,,,"198","472",".","0","",,,,,"9152","9152","2015232","2015232","82056","82056","2359296","2359296","5677056","5677056","25001984","25001984",,,"2015232","2015232","00:00:00.7968750","services",,"True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01","00:00:00.2031250","19496960","19496960","False",,,,"5550080","5550080",,
"Process","smss","52","4313088","1150976","303104","2480",,,"0.09375",,,,,"11",,,,,"52","228",".","0","",,,,,"2480","2480","303104","303104","12392","12392","380928","380928","1163264","1163264","25341952","25341952",,,"303104","303104","00:00:00.0937500","smss",,"True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:47 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00","4313088","4313088","False",,,,"1150976","1150976",,
"Process","spoolsv","420","87531520","11980800","3891200","26144",,,"0.203125",,,,,"8",,"False",,"3924","420","632",".","0","",,"1413120","204800",,"26144","26144","3891200","3891200","182856","182856","4370432","4370432","12083200","12083200","89694208","89694208","True","Normal","3891200","3891200","00:00:00.1406250","spoolsv","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:55 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2031250","00:00:00.0625000","87531520","87531520","False",,,,"11980800","11980800",,
"Process","svchost","363","52310016","10657792","9224192","33712",,,"0.515625",,,,,"8",,"False",,"2072","363","64",".","0","",,"1413120","204800",,"33712","33712","9224192","9224192","89408","89408","9670656","9670656","11505664","11505664","55537664","55537664","True","Normal","9224192","9224192","00:00:00.2500000","svchost","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:54 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5156250","00:00:00.2656250","52310016","52310016","False",,,,"10657792","10657792",,
"Process","svchost","390","659800064","13541376","8429568","25584",,,"0.921875",,,,,"8",,"False",,"3604","390","208",".","0","",,"1413120","204800",,"25584","25584","8429568","8429568","158176","158176","11673600","11673600","14057472","14057472","1183645696","1183645696","True","Normal","8429568","8429568","00:00:00.7187500","svchost","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:55 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.9218750","00:00:00.2031250","659800064","659800064","False",,,,"13541376","13541376",,
"Process","svchost","340","47816704","10264576","3477504","14784",,,"0.390625",,,,,"8",,"False",,"2420","340","536",".","0","",,"1413120","204800",,"14784","14784","3477504","3477504","173728","173728","7766016","7766016","12005376","12005376","52867072","52867072","True","Normal","3477504","3477504","00:00:00.1875000","svchost","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:52 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3906250","00:00:00.2031250","47816704","47816704","False",,,,"10264576","10264576",,
"Process","svchost","342","34721792","7151616","2969600","15632",,,"0.53125",,,,,"8",,"False",,"1716","342","564",".","0","",,"1413120","204800",,"15632","15632","2969600","2969600","87232","87232","3186688","3186688","7278592","7278592","36958208","36958208","True","Normal","2969600","2969600","00:00:00.2812500","svchost","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:52 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5312500","00:00:00.2500000","34721792","34721792","False",,,,"7151616","7151616",,
"Process","svchost","465","59715584","15695872","12378112","19984",,,"2.71875",,,,,"8",,"False",,"2412","465","764",".","0","",,"1413120","204800",,"19984","19984","12378112","12378112","95528","95528","15687680","15687680","26738688","26738688","411615232","411615232","True","Normal","12378112","12378112","00:00:01.6093750","svchost","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:54 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.7187500","00:00:01.1093750","59715584","59715584","False",,,,"15695872","15695872",,
"Process","svchost","1199","150654976","28409856","15355904","49264",,,"8.53125",,,,,"8",,"False",,"1552","1199","804",".","0","",,"1413120","204800",,"49264","49264","15355904","15355904","289712","289712","35045376","35045376","61014016","61014016","385171456","385171456","True","Normal","15355904","15355904","00:00:04.0468750","svchost","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:54 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.5312500","00:00:04.4843750","150654976","150654976","False",,,,"28409856","28409856",,
